name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Dancing In the Dark,Born In The U.S.A.,Bruce Springsteen,1984-06-04,241306,81,0.527,0.0115,0.527,0.942,0.0,0.188,-5.64,0.0366,148.723,4
My Way,My Way (Expanded Edition),Frank Sinatra,1969-03,276800,75,0.401,0.7,0.401,0.381,0.0,0.122,-7.458,0.0274,75.454,4
Beautiful Now,True Colors,Zedd,2015-05-18,218293,71,0.628,0.0079,0.628,0.833,1.48e-05,0.074,-4.126,0.0282,128.003,4
A-Punk,Vampire Weekend,Vampire Weekend,2008-01-29,137760,0,0.548,0.0104,0.548,0.816,0.0543,0.152,-4.478,0.0499,174.993,4
September,September,"Earth, Wind & Fire",2018-04-17,215080,67,0.694,0.165,0.694,0.831,0.000892,0.25,-7.288,0.0301,125.901,4
Somebody To Love - Remastered 2011,A Day At The Races (Deluxe Remastered Version),Queen,1976-12-10,296493,70,0.497,0.19,0.497,0.693,0.0,0.215,-7.024,0.0565,111.539,3
You Can't Hurry Love - 2016 Remaster,"Hello, I Must Be Going! (Deluxe Edition)",Phil Collins,1982-11-05,175746,79,0.62,0.0261,0.62,0.936,0.0,0.0679,-4.593,0.0308,97.527,4
In The Air Tonight - 2015 Remastered,Face Value (Deluxe Editon),Phil Collins,1981-01-01,336453,79,0.446,0.551,0.446,0.239,4.1e-06,0.0697,-13.945,0.0316,189.507,4
My Girl,The Temptations Sing Smokey,The Temptations,1965-03-22,165000,82,0.572,0.635,0.572,0.418,0.0,0.0961,-10.738,0.0349,104.566,4
Sweet Dreams (Are Made of This) - Remastered,Sweet Dreams (Are Made Of This),Eurythmics,1983-01-04,216933,85,0.692,0.225,0.692,0.711,0.0,0.12,-7.498,0.0317,125.135,4
Break My Stride,I Don't Speak The Language,Matthew Wilder,1983-03-19,184480,75,0.917,0.195,0.917,0.588,0.0,0.0914,-11.047,0.0607,110.077,4
Whip It,Freedom of Choice,DEVO,1980,161133,65,0.78,0.0744,0.78,0.869,0.004,0.0621,-7.255,0.0517,157.902,4
Iris,Dizzy up the Girl,The Goo Goo Dolls,1998-09-11,289533,88,0.315,0.00125,0.315,0.715,7.97e-06,0.0942,-8.072,0.0362,155.925,3
Move Your Feet,d-d-don't don't stop the beat (Explicit Content U.S. Version),Junior Senior,2003-07-25,181906,61,0.755,0.0507,0.755,0.895,0.0737,0.222,-2.619,0.0883,118.871,4
Good Time,The Midsummer Station,Owl City,2012-08-17,205933,79,0.56,0.0239,0.56,0.872,6.98e-06,0.371,-4.269,0.14,126.05,4
Firework,Teenage Dream: The Complete Confection,Katy Perry,2012-03-12,227880,72,0.638,0.139,0.638,0.826,0.0,0.0803,-4.968,0.0479,124.072,4
Bust A Move,Stone Cold Rhymin',Young MC,1989-01-01,263914,65,0.946,0.0512,0.946,0.772,2.26e-06,0.0612,-7.537,0.121,116.972,4
Jump in the Line,Jump Up Calypso,Harry Belafonte,1961-07-21,221704,67,0.594,0.768,0.594,0.889,0.0,0.124,-7.775,0.246,116.187,4
I'm Ready,Living Room,AJR,2013,227311,60,0.628,0.0108,0.628,0.867,0.0,0.308,-3.555,0.0913,78.043,4
The Git Up,Honeysuckle & Lightning Bugs,Blanco Brown,2019-10-10,200593,57,0.847,0.0669,0.847,0.678,0.0,0.274,-8.635,0.109,97.984,4
What Makes You Beautiful,Up All Night,One Direction,2012-05-25,199986,85,0.726,0.009,0.726,0.787,0.0,0.0596,-2.494,0.0737,124.99,4
Replay,Replay,Iyaz,2009-08-11,182306,74,0.706,0.173,0.706,0.751,0.0,0.168,-6.323,0.0708,91.031,4
Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,2008-05-26,242373,89,0.486,0.0954,0.486,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,4
We Are Young (feat. Janelle Monáe),Some Nights,fun.,2012-02-21,250626,75,0.378,0.02,0.378,0.638,7.66e-05,0.0849,-5.576,0.075,184.086,4
Animal,Habits,Neon Trees,2010-01-01,212293,72,0.482,0.000346,0.482,0.833,0.0,0.365,-5.611,0.0449,148.039,4
Chicken Fried,The Foundation,Zac Brown Band,2008-11-17,238146,1,0.566,0.645,0.566,0.713,0.0,0.114,-4.25,0.0418,169.861,4
Unwritten,Unwritten,Natasha Bedingfield,2004-09-06,259333,1,0.706,0.00584,0.706,0.8,0.0,0.0822,-6.333,0.0399,100.011,4
Pocketful of Sunshine,Pocketful Of Sunshine,Natasha Bedingfield,2007-04-27,202906,73,0.721,0.191,0.721,0.88,0.0,0.0769,-3.896,0.0454,110.021,4
Beautiful Soul,Beautiful Soul,Jesse McCartney,2004-01-01,214226,72,0.66,0.0759,0.66,0.666,0.0,0.0268,-4.342,0.0472,89.975,4
Love On Top,4,Beyoncé,2011-06-24,267413,77,0.652,0.0848,0.652,0.749,0.0,0.604,-5.248,0.0886,94.103,4
